date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:49:01	42576/42576	U--M-Z	200	updated ('OK')	text/html	date:Fri,%2005%20Sep%202025%2012:49:00%20GMT	http://nlping.ru/	./nlping_mirror/nlping.ru/index.html	(from )
15:49:02	15/15	---M-Z	404	error ('Not%20Found')	text/plain	date:Fri,%2005%20Sep%202025%2012:49:01%20GMT	http://jwpsrv.com/library/8nceFA8aEeOsXyIACusDuQ.js	./nlping_mirror/jwpsrv.com/library/8nceFA8aEeOsXyIACusDuQ.0.delayed	(from http://nlping.ru/)
15:49:02	894/894	U-----	200	untouched ('')	image/x-icon	etag:%22502ba47e-37e%22	http://nlping.ru/favicon.ico	./nlping_mirror/nlping.ru/favicon.ico	(from http://nlping.ru/)
15:49:02	12376/12376	U--MCZ	200	updated ('OK')	text/xml	date:Fri,%2005%20Sep%202025%2012:49:02%20GMT	http://nlping.ru/rss/	./nlping_mirror/nlping.ru/rss/index.html	(from http://nlping.ru/)
15:49:03	20052/20052	U-----	200	untouched ('OK')	text/css	etag:W/%2250c2040e-4e54%22	http://nlping.ru/css/smoothness/jquery-ui-1.9.2.custom.css	./nlping_mirror/nlping.ru/css/smoothness/jquery-ui-1.9.2.custom.css	(from http://nlping.ru/)
15:49:03	1166/1166	U-----	200	untouched ('OK')	text/css	etag:W/%22502ba48a-48e%22	http://nlping.ru/css/reset.css	./nlping_mirror/nlping.ru/css/reset.css	(from http://nlping.ru/)
15:49:05	13829/13829	U-----	200	untouched ('OK')	text/css	etag:W/%22502ba48a-3605%22	http://nlping.ru/css/layout.css	./nlping_mirror/nlping.ru/css/layout.css	(from http://nlping.ru/)
15:49:05	6096/6096	U-----	200	untouched ('OK')	text/css	etag:W/%225236caaf-17d0%22	http://nlping.ru/css/typography.css	./nlping_mirror/nlping.ru/css/typography.css	(from http://nlping.ru/)
15:49:05	1648/1648	U-----	200	untouched ('OK')	text/css	etag:W/%22502ba48a-670%22	http://nlping.ru/css/lightbox.css	./nlping_mirror/nlping.ru/css/lightbox.css	(from http://nlping.ru/)
15:49:05	1601/1601	U-----	200	untouched ('OK')	text/css	etag:W/%22502ba48a-641%22	http://nlping.ru/css/print.css	./nlping_mirror/nlping.ru/css/print.css	(from http://nlping.ru/)
15:49:05	36138/36138	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2005%20Sep%202025%2012:49:03%20GMT	http://nlping.ru/BB384C6D-F4604-7299A042	./nlping_mirror/nlping.ru/BB384C6D-F4604-7299A042.1.delayed	(from http://nlping.ru/)
15:49:05	26457/26457	U-----	200	untouched ('OK')	text/css	etag:W/%2254b666a7-6759%22	http://nlping.ru/css/styles.css	./nlping_mirror/nlping.ru/css/styles.css	(from http://nlping.ru/)
15:49:06	525/525	U-----	200	untouched ('OK')	text/css	etag:%22502ba48a-20d%22	http://nlping.ru/css/countdown.css	./nlping_mirror/nlping.ru/css/countdown.css	(from http://nlping.ru/)
15:49:07	140/140	U-----	200	untouched ('OK')	text/css	etag:%2251dd377b-8c%22	http://nlping.ru/css/jquery.countdown.css	./nlping_mirror/nlping.ru/css/jquery.countdown.css	(from http://nlping.ru/)
15:49:08	57254/57254	U-----	200	untouched ('')	application/javascript	etag:W/%22530101f6-dfa6%22	http://nlping.ru/js/jquery.core.pack.js	./nlping_mirror/nlping.ru/js/jquery.core.pack.js	(from http://nlping.ru/)
15:49:08	83495/83495	U-----	200	untouched ('')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/2.0.2/jquery.min.js	./nlping_mirror/ajax.googleapis.com/ajax/libs/jquery/2.0.2/jquery.min.js	(from http://nlping.ru/)
15:49:08	2243/2243	U-----	200	untouched ('')	application/javascript	etag:W/%22530c84f4-8c3%22	http://nlping.ru/js/jquery.pngfix.pack.js	./nlping_mirror/nlping.ru/js/jquery.pngfix.pack.js	(from http://nlping.ru/)
15:49:08	36135/36135	---MC-	302	error ('Moved%20Temporarily')	text/html	date:Fri,%2005%20Sep%202025%2012:49:06%20GMT	http://nlping.ru/F4DE5	./nlping_mirror/nlping.ru/F4DE5	(from http://nlping.ru/)
15:49:09	2320/2320	U-----	200	untouched ('')	application/javascript	etag:W/%22519a6071-910%22	http://nlping.ru/js/jquery.cookie.js	./nlping_mirror/nlping.ru/js/jquery.cookie.js	(from http://nlping.ru/)
15:49:09	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Fri,%2005%20Sep%202025%2012:49:09%20GMT	http://connect.facebook.net/ru_RU/sdk.js	./nlping_mirror/connect.facebook.net/ru_RU/sdk.3.delayed	(from http://nlping.ru/)
15:49:09	6970/6970	U-----	200	untouched ('')	application/javascript	etag:W/%2252f7066b-1b3a%22	http://nlping.ru/js/jquery.disqus.js	./nlping_mirror/nlping.ru/js/jquery.disqus.js	(from http://nlping.ru/)
15:49:10	11050/11050	U-----	200	untouched ('')	application/javascript	etag:W/%225384a899-2b2a%22	http://nlping.ru/js/scripts.js	./nlping_mirror/nlping.ru/js/scripts.js	(from http://nlping.ru/)
15:49:10	18512/18512	U-----	200	untouched ('')	application/javascript	etag:W/%2252e6dc3d-4850%22	http://nlping.ru/js/lightbox.js	./nlping_mirror/nlping.ru/js/lightbox.js	(from http://nlping.ru/)
15:49:11	10947/10947	U-----	200	untouched ('')	application/javascript	etag:W/%2251dd5a56-2ac3%22	http://nlping.ru/js/jquery.countdown.js	./nlping_mirror/nlping.ru/js/jquery.countdown.js	(from http://nlping.ru/)
15:49:12	14392/14392	U-----	200	untouched ('')	image/png	etag:%22502ba46e-3838%22	http://nlping.ru/images/logo.png	./nlping_mirror/nlping.ru/images/logo.png	(from http://nlping.ru/)
